,rpId,direction,x,y,z,dx,dy
0,0,u,0.51389,56.0044,-203.379,-0.707107,0.707107
1,0,v,-0.51389,56.0044,-203.375,0.707107,0.707107
2,1,u,-0.51389,-56.3534,-203.379,0.707107,-0.707107
3,1,v,0.51389,-56.3534,-203.375,-0.707107,-0.707107
4,2,u,57.1404,-0.51389,-203.829,0.707107,0.707107
5,2,v,57.1404,0.51389,-203.825,0.707107,-0.707107
6,3,u,21.72824,2.84952,-212.552,0.606465,0.7951102
7,3,v,21.58492,3.867454,-212.548,0.7951098,-0.6064656
8,4,u,-2.457774,19.80316,-213.002,-0.7979412,0.6027356
9,4,v,-3.475792,19.6586,-212.998,0.6027356,0.7979404
10,5,u,2.523558,-20.22672,-213.002,0.7990046,-0.601324
11,5,v,3.540266,-20.08416,-212.998,-0.6013246,-0.7990042
12,20,u,-0.06791208,20.2907,-214.63,-0.7070474,0.707166
13,20,v,-1.095272,20.29028,-214.626,0.7071662,0.7070472
14,21,u,-0.923846,-20.62734,-214.63,0.70759,-0.7066228
15,21,v,0.11678998,-20.63944,-214.626,-0.706623,-0.7075902
16,22,u,21.65766,0.55348,-215.08,0.712332,0.7018424
17,22,v,21.65774,1.581334,-215.076,0.7018426,-0.7123316
18,23,u,21.1795,-0.317782,-219.552,0.7086464,0.7055636
19,23,v,21.17916,0.708824,-219.548,0.7055634,-0.7086468
20,24,u,0.36618,20.73878,-220.002,-0.7068518,0.7073618
21,24,v,-0.66113,20.73922,-219.998,0.7073618,0.7068516
22,25,u,-0.425138,-21.1518,-220.002,0.707082,-0.7071316
23,25,v,0.602658,-21.1518,-219.998,-0.707132,-0.7070812
24,100,u,-0.51389,56.0124,203.379,0.707107,0.707107
25,100,v,0.51389,56.0124,203.375,-0.707107,0.707107
26,101,u,0.51389,-56.0594,203.379,-0.707107,-0.707107
27,101,v,-0.51389,-56.0594,203.375,0.707107,-0.707107
28,102,u,57.1294,0.51389,203.829,0.707107,-0.707107
29,102,v,57.1294,-0.51389,203.825,0.707107,0.707107
30,103,u,21.79702,3.960404,212.552,0.7967018,-0.6043724
31,103,v,21.93888,2.943232,212.548,0.6043726,0.7967018
32,104,u,-3.46742,19.86602,213.002,0.6019318,0.7985474
33,104,v,-2.449874,20.00874,212.998,-0.7985474,0.6019316
34,105,u,3.681122,-20.06836,213.002,-0.6016286,-0.7987758
35,105,v,2.663276,-20.2115,212.998,0.7987756,-0.6016294
36,120,u,0.08910606,21.92282,214.63,0.6929352,0.7209998
37,120,v,1.115876,21.92392,214.626,-0.7209998,0.6929352
38,121,u,0.377426,-20.6694,214.63,-0.7077856,-0.706427
39,121,v,-0.649584,-20.66862,214.626,0.7064274,-0.7077856
40,122,u,21.74352,1.553668,215.08,0.7037496,-0.7104484
41,122,v,21.74348,0.525896,215.076,0.7104486,0.7037494
42,123,u,21.0331,0.474144,219.552,0.7043072,-0.709895
43,123,v,21.03276,-0.553346,219.548,0.709895,0.7043076
44,124,u,-1.10645,20.89594,220.002,0.7075782,0.706635
45,124,v,-0.07843808,20.89618,219.998,-0.7066348,0.7075776
46,125,u,-0.22734,-21.30734,220.002,-0.7057672,-0.7084432
47,125,v,-1.254752,-21.30722,219.998,0.708443,-0.7057674
